Horodateur,Quel est ton âge ?,Quel est ton niveau scolaire actuel ?,Quelles sont tes matières préférées à l’école ?,Quelles matières aimes-tu le moins ?,Quel type d’activités préfères-tu en dehors de l’école ?,Préfères-tu travailler seul(e) ou en groupe ?,"Aimes-tu les matières scientifiques (maths, physique, chimie) ?","Préfères-tu les matières littéraires (français, histoire, langues) ?","Es-tu intéressé(e) par les arts (musique, dessin, théâtre) ?",Quel est ton style d’apprentissage préféré ?,Aimes-tu résoudre des problèmes ou des énigmes ?,Te sens-tu à l’aise avec les technologies et l’informatique ?,Aimes-tu travailler avec des chiffres et des données ?,Es-tu attiré(e) par les métiers liés à la santé ou au social ?,Quel est ton niveau en langues étrangères ?,Préfères-tu des métiers créatifs ou techniques ?,Aimes-tu la recherche et l’analyse ?,As-tu déjà une idée du métier que tu aimerais faire plus tard ?,Quel type d’environnement de travail te motive le plus ?,Es-tu prêt(e) à suivre des études longues (plus de 3 ans) ?,Quelle importance accordes-tu à la stabilité de l’emploi dans ton choix de carrière ?,Préfères-tu un métier avec beaucoup de contacts humains ?,Quel rôle voudrais-tu avoir dans une équipe ?,Quelles qualités personnelles te décrivent le mieux ?,Comment gères-tu le stress ou les situations difficiles ?,As-tu déjà participé à des projets ou activités extra-scolaires ?,Quelle place accordes-tu à l’innovation et à la créativité dans ton travail ?,Es-tu intéressé(e) par l’entrepreneuriat ou créer ta propre entreprise ?,Quels sont tes objectifs personnels à court terme (1-2 ans) ?,Comment imagines-tu ta vie professionnelle dans 10 ans ?,Champ convenable
06/07/2025 13:30:52,Moins de 14 ans,Première,"Physique-Chimie, Sciences de la vie et de la Terre, Mathématiques",Langues étrangères,"Jeux vidéo, Lecture, Sports",Seul(e),Pas du tout,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)",Parfois,Oui,Oui,Non,Intermédiaire,Créatifs,Oui,"Oui, clairement",Bureau / travail sur ordinateur,Oui,Très importante,Parfois,Organisateur / planificateur,Organisé(e),Je me sens parfois dépassé(e),Non,Moyennement importante,"Oui, beaucoup",Trouver un stage,Avoir un poste à responsabilités,Lettres / Sciences Humaines
06/07/2025 13:35:52,Moins de 14 ans,Première,"Langues étrangères, Physique-Chimie","Sciences de la vie et de la Terre, Mathématiques","Activités artistiques, Sports, Bénévolat / Engagement associatif",En groupe,Pas du tout,Pas du tout,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Non,Non,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Je ne sais pas,Non,Peu importante,Parfois,Leader / chef de projet,"Organisé(e), Créatif(ve)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,Pas du tout,Développer mes compétences,Continuer à apprendre,Divers
06/07/2025 13:40:52,18 ans et plus,Post-bac / Université,"Histoire-Géographie, Arts plastiques / Musique",Mathématiques,Sorties avec des amis,Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Un peu,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Non,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail en extérieur,Oui,Moyennement importante,Non,Je ne sais pas,"Curieux(se), Rigoureux(se), Dynamique",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,Pas du tout,Trouver un stage,Contribuer à la société,Informatique / Ingénierie
06/07/2025 13:45:52,16-17 ans,Seconde,Langues étrangères,Arts plastiques / Musique,"Sports, Bénévolat / Engagement associatif, Lecture",Ça dépend des situations,Pas du tout,Un peu,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Parfois,Non,Avancé,Techniques,Un peu,"Oui, clairement",Laboratoire / recherche,Oui,Peu importante,Non,Je ne sais pas,Dynamique,Je préfère éviter ces situations,Non,Très importante,"Oui, beaucoup",Développer mes compétences,Travailler dans un domaine qui me passionne,Divers
06/07/2025 13:50:52,18 ans et plus,Terminale,"Arts plastiques / Musique, Langues étrangères",,"Sorties avec des amis, Jeux vidéo",Ça dépend des situations,Un peu,Un peu,Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Oui,Peut-être,Intermédiaire,Techniques,Non,J’ai quelques idées,Travail en extérieur,Non,Très importante,Parfois,Créatif / innovateur,"Dynamique, Curieux(se), Rigoureux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,Un peu,Réussir mes examens,Travailler dans un domaine qui me passionne,Divers
06/07/2025 13:55:52,18 ans et plus,Seconde,Français,"Physique-Chimie, Mathématiques",Jeux vidéo,En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Visuel (images, schémas)",Parfois,Moyennement,Oui,Peut-être,Avancé,Techniques,Non,Pas encore,Bureau / travail sur ordinateur,Oui,Très importante,Oui,Je ne sais pas,"Patient(e), Rigoureux(se), Organisé(e)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Informatique / Ingénierie
06/07/2025 14:00:52,Moins de 14 ans,Seconde,Langues étrangères,Arts plastiques / Musique,"Sorties avec des amis, Sports, Lecture",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Visuel (images, schémas)",Parfois,Moyennement,Oui,Oui,Intermédiaire,Techniques,Non,J’ai quelques idées,Laboratoire / recherche,Non,Moyennement importante,Oui,Leader / chef de projet,Organisé(e),Je préfère éviter ces situations,Non,Moyennement importante,"Oui, beaucoup",Créer un projet personnel,Être entrepreneur,Technologie / Technique
06/07/2025 14:05:52,16-17 ans,Post-bac / Université,"Mathématiques, Langues étrangères, Physique-Chimie",Histoire-Géographie,"Sorties avec des amis, Bénévolat / Engagement associatif, Lecture",Seul(e),Un peu,"Oui, beaucoup",Oui,"Visuel (images, schémas)",Parfois,Oui,Oui,Non,Intermédiaire,Les deux,Non,J’ai quelques idées,Je ne sais pas,Non,Moyennement importante,Oui,Organisateur / planificateur,"Rigoureux(se), Créatif(ve)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Contribuer à la société,Arts / Création
06/07/2025 14:10:52,16-17 ans,Terminale,"Arts plastiques / Musique, Sciences de la vie et de la Terre","Mathématiques, Français","Sorties avec des amis, Activités artistiques",Ça dépend des situations,Un peu,Un peu,Oui,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Non,Débutant,Les deux,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Peu importante,Oui,Organisateur / planificateur,"Rigoureux(se), Créatif(ve), Curieux(se)",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Créer un projet personnel,Contribuer à la société,Arts / Création
06/07/2025 14:15:52,14-15 ans,Seconde,"Histoire-Géographie, Physique-Chimie, Français",,Sorties avec des amis,En groupe,Un peu,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Non,Parfois,Oui,Avancé,Créatifs,Non,J’ai quelques idées,Travail en extérieur,Peut-être,Moyennement importante,Oui,Créatif / innovateur,"Rigoureux(se), Curieux(se)",Je me sens parfois dépassé(e),Non,Très importante,Pas du tout,Développer mes compétences,Contribuer à la société,Lettres / Sciences Humaines
06/07/2025 14:20:52,18 ans et plus,Terminale,"Arts plastiques / Musique, Histoire-Géographie",,"Activités artistiques, Sports, Sorties avec des amis",Ça dépend des situations,Un peu,Pas du tout,Oui,"Auditif (écoute, explications orales)",Parfois,Moyennement,Parfois,Peut-être,Intermédiaire,Créatifs,Non,"Oui, clairement",Je ne sais pas,Oui,Moyennement importante,Non,Exécutant / spécialiste,"Patient(e), Rigoureux(se), Organisé(e)",Je reste calme et cherche des solutions,Non,Très importante,Pas du tout,Développer mes compétences,Continuer à apprendre,Arts / Création
06/07/2025 14:25:52,16-17 ans,Première,"Mathématiques, Langues étrangères",Sciences de la vie et de la Terre,Sports,En groupe,Pas du tout,Un peu,Non,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Oui,Avancé,Créatifs,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Moyennement importante,Oui,Je ne sais pas,"Patient(e), Curieux(se), Organisé(e)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Peu importante,Un peu,Développer mes compétences,Contribuer à la société,Communication / Marketing
06/07/2025 14:30:52,14-15 ans,Seconde,"Langues étrangères, Français, Arts plastiques / Musique",,Activités artistiques,Seul(e),"Oui, beaucoup",Pas du tout,Non,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Peut-être,Intermédiaire,Créatifs,Oui,Pas encore,Travail en extérieur,Oui,Très importante,Parfois,Je ne sais pas,Curieux(se),Je préfère éviter ces situations,"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Trouver un stage,Être entrepreneur,Recherche / Sciences
06/07/2025 14:35:52,16-17 ans,Seconde,"Histoire-Géographie, Français","Physique-Chimie, Arts plastiques / Musique",Bénévolat / Engagement associatif,Seul(e),Un peu,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Parfois,Moyennement,Oui,Non,Intermédiaire,Techniques,Non,"Oui, clairement",Laboratoire / recherche,Non,Très importante,Parfois,Organisateur / planificateur,"Rigoureux(se), Patient(e)",Je reste calme et cherche des solutions,"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Avoir un poste à responsabilités,Divers
06/07/2025 14:40:52,18 ans et plus,Seconde,"Arts plastiques / Musique, Histoire-Géographie",Physique-Chimie,Lecture,Seul(e),"Oui, beaucoup",Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Parfois,Non,Avancé,Créatifs,Oui,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Non,Je ne sais pas,Patient(e),Je reste calme et cherche des solutions,Non,Moyennement importante,Un peu,Développer mes compétences,Contribuer à la société,Recherche / Sciences
06/07/2025 14:45:52,14-15 ans,Post-bac / Université,"Histoire-Géographie, Mathématiques, Physique-Chimie",Français,"Lecture, Activités artistiques, Jeux vidéo",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Non,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Peut-être,Avancé,Créatifs,Un peu,J’ai quelques idées,Travail manuel,Oui,Peu importante,Non,Exécutant / spécialiste,"Rigoureux(se), Curieux(se), Dynamique",Je préfère éviter ces situations,Non,Moyennement importante,Pas du tout,Trouver un stage,Travailler dans un domaine qui me passionne,Divers
06/07/2025 14:50:52,18 ans et plus,Seconde,Mathématiques,Français,"Lecture, Sports, Activités artistiques",Ça dépend des situations,Un peu,"Oui, beaucoup",Non,"Visuel (images, schémas)",Parfois,Oui,Parfois,Non,Courant / bilingue,Créatifs,Oui,"Oui, clairement",Travail manuel,Non,Moyennement importante,Non,Je ne sais pas,"Dynamique, Créatif(ve), Organisé(e)",Je préfère éviter ces situations,Non,Moyennement importante,Un peu,Développer mes compétences,Être entrepreneur,Lettres / Sciences Humaines
06/07/2025 14:55:52,16-17 ans,Première,"Français, Histoire-Géographie",,"Lecture, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup",Pas du tout,Oui,"Visuel (images, schémas)","Oui, beaucoup",Oui,Parfois,Peut-être,Intermédiaire,Créatifs,Non,Pas encore,Travail en extérieur,Oui,Moyennement importante,Non,Exécutant / spécialiste,"Dynamique, Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Trouver un stage,Contribuer à la société,Arts / Création
06/07/2025 15:00:52,14-15 ans,Terminale,"Physique-Chimie, Arts plastiques / Musique, Mathématiques","Sciences de la vie et de la Terre, Français","Sports, Activités artistiques, Lecture",Ça dépend des situations,Un peu,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Non,Débutant,Les deux,Non,J’ai quelques idées,Je ne sais pas,Peut-être,Moyennement importante,Oui,Organisateur / planificateur,Rigoureux(se),Je préfère éviter ces situations,"Oui, une fois ou deux",Peu importante,Pas du tout,Développer mes compétences,Contribuer à la société,Divers
06/07/2025 15:05:52,16-17 ans,Terminale,"Sciences de la vie et de la Terre, Français, Histoire-Géographie","Physique-Chimie, Arts plastiques / Musique","Bénévolat / Engagement associatif, Sorties avec des amis, Sports",Ça dépend des situations,Un peu,Pas du tout,Oui,"Kinesthésique (faire, manipuler)",Non,Oui,Non,Non,Intermédiaire,Créatifs,Oui,"Oui, clairement",Bureau / travail sur ordinateur,Oui,Peu importante,Oui,Exécutant / spécialiste,Rigoureux(se),Je préfère éviter ces situations,Non,Moyennement importante,Pas du tout,Créer un projet personnel,Avoir un poste à responsabilités,Arts / Création
06/07/2025 15:10:52,18 ans et plus,Première,"Mathématiques, Sciences de la vie et de la Terre","Français, Physique-Chimie","Bénévolat / Engagement associatif, Sorties avec des amis, Lecture",Ça dépend des situations,Un peu,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Moyennement,Parfois,Oui,Intermédiaire,Techniques,Non,"Oui, clairement",Travail en extérieur,Peut-être,Très importante,Parfois,Leader / chef de projet,Organisé(e),Je préfère éviter ces situations,Non,Très importante,Un peu,Réussir mes examens,Travailler dans un domaine qui me passionne,Divers
06/07/2025 15:15:52,16-17 ans,Post-bac / Université,"Sciences de la vie et de la Terre, Arts plastiques / Musique",Mathématiques,"Lecture, Activités artistiques",Ça dépend des situations,Pas du tout,"Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Peut-être,Courant / bilingue,Créatifs,Oui,Pas encore,Travail manuel,Oui,Très importante,Non,Créatif / innovateur,"Dynamique, Créatif(ve), Patient(e)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Obtenir mon diplôme,Continuer à apprendre,Lettres / Sciences Humaines
06/07/2025 15:20:52,18 ans et plus,Seconde,"Sciences de la vie et de la Terre, Langues étrangères","Histoire-Géographie, Physique-Chimie","Bénévolat / Engagement associatif, Jeux vidéo",Ça dépend des situations,"Oui, beaucoup",Un peu,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Oui,Non,Non,Intermédiaire,Je ne sais pas,Non,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Parfois,Créatif / innovateur,"Dynamique, Créatif(ve)",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,"Oui, beaucoup",Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Divers
06/07/2025 15:25:52,18 ans et plus,Première,"Histoire-Géographie, Langues étrangères","Mathématiques, Français",Sports,En groupe,Pas du tout,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Moyennement,Oui,Non,Intermédiaire,Créatifs,Oui,Pas encore,Laboratoire / recherche,Oui,Peu importante,Non,Leader / chef de projet,"Curieux(se), Patient(e)",Je reste calme et cherche des solutions,Non,Très importante,Un peu,Obtenir mon diplôme,Contribuer à la société,Recherche / Sciences
06/07/2025 15:30:52,16-17 ans,Terminale,"Histoire-Géographie, Sciences de la vie et de la Terre, Physique-Chimie","Arts plastiques / Musique, Français",Bénévolat / Engagement associatif,En groupe,Un peu,"Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Non,Oui,Oui,Peut-être,Intermédiaire,Les deux,Non,Pas encore,Bureau / travail sur ordinateur,Oui,Très importante,Oui,Je ne sais pas,"Rigoureux(se), Patient(e), Créatif(ve)",Je reste calme et cherche des solutions,Non,Très importante,Pas du tout,Créer un projet personnel,Être entrepreneur,Divers
06/07/2025 15:35:52,18 ans et plus,Seconde,"Arts plastiques / Musique, Mathématiques",,Jeux vidéo,En groupe,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,"Oui, beaucoup",Oui,Non,Non,Courant / bilingue,Créatifs,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Très importante,Parfois,Organisateur / planificateur,Rigoureux(se),Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Créer un projet personnel,Travailler dans un domaine qui me passionne,Divers
06/07/2025 15:40:52,16-17 ans,Seconde,"Sciences de la vie et de la Terre, Mathématiques, Arts plastiques / Musique",,"Jeux vidéo, Activités artistiques",Ça dépend des situations,Un peu,"Oui, beaucoup",Non,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Non,Intermédiaire,Techniques,Oui,"Oui, clairement",Je ne sais pas,Non,Très importante,Oui,Exécutant / spécialiste,"Créatif(ve), Dynamique",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Peu importante,Un peu,Trouver un stage,Avoir un poste à responsabilités,Santé / Social
06/07/2025 15:45:52,14-15 ans,Première,"Sciences de la vie et de la Terre, Français, Physique-Chimie","Arts plastiques / Musique, Mathématiques","Jeux vidéo, Bénévolat / Engagement associatif",Ça dépend des situations,Un peu,"Oui, beaucoup",Un peu,"Kinesthésique (faire, manipuler)",Parfois,Oui,Parfois,Oui,Débutant,Créatifs,Non,J’ai quelques idées,Travail en extérieur,Oui,Moyennement importante,Oui,Je ne sais pas,"Curieux(se), Organisé(e)",Je reste calme et cherche des solutions,Non,Moyennement importante,Pas du tout,Créer un projet personnel,Travailler dans un domaine qui me passionne,Lettres / Sciences Humaines
06/07/2025 15:50:52,Moins de 14 ans,Terminale,Langues étrangères,"Histoire-Géographie, Physique-Chimie",Activités artistiques,Seul(e),"Oui, beaucoup",Un peu,Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Non,Peut-être,Intermédiaire,Créatifs,Non,Pas encore,Bureau / travail sur ordinateur,Oui,Très importante,Non,Créatif / innovateur,Curieux(se),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Réussir mes examens,Être entrepreneur,Arts / Création
06/07/2025 15:55:52,16-17 ans,Première,Arts plastiques / Musique,Histoire-Géographie,"Activités artistiques, Sorties avec des amis",Ça dépend des situations,Un peu,Un peu,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Non,Non,Avancé,Créatifs,Un peu,"Oui, clairement",Je ne sais pas,Non,Très importante,Parfois,Leader / chef de projet,"Dynamique, Organisé(e), Patient(e)",Je préfère éviter ces situations,Non,Peu importante,"Oui, beaucoup",Obtenir mon diplôme,Avoir un poste à responsabilités,Divers
06/07/2025 16:00:52,18 ans et plus,Première,"Arts plastiques / Musique, Histoire-Géographie",Physique-Chimie,"Sports, Activités artistiques, Jeux vidéo",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Non,Peut-être,Avancé,Je ne sais pas,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Peut-être,Très importante,Oui,Je ne sais pas,"Rigoureux(se), Patient(e), Curieux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Réussir mes examens,Contribuer à la société,Divers
06/07/2025 16:05:52,18 ans et plus,Première,Histoire-Géographie,"Physique-Chimie, Mathématiques","Sorties avec des amis, Bénévolat / Engagement associatif, Activités artistiques",Ça dépend des situations,Un peu,"Oui, beaucoup",Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Oui,Oui,Avancé,Créatifs,Oui,Pas encore,Bureau / travail sur ordinateur,Non,Moyennement importante,Non,Organisateur / planificateur,"Rigoureux(se), Créatif(ve)",Je reste calme et cherche des solutions,"Oui, plusieurs fois",Très importante,Pas du tout,Créer un projet personnel,Être entrepreneur,Lettres / Sciences Humaines
06/07/2025 16:10:52,18 ans et plus,Post-bac / Université,"Sciences de la vie et de la Terre, Physique-Chimie, Langues étrangères",,Sports,Seul(e),"Oui, beaucoup","Oui, beaucoup",Un peu,Je ne sais pas,"Oui, beaucoup",Oui,Non,Non,Avancé,Je ne sais pas,Oui,J’ai quelques idées,Travail manuel,Oui,Moyennement importante,Oui,Je ne sais pas,"Patient(e), Curieux(se)",Je reste calme et cherche des solutions,Non,Peu importante,Un peu,Créer un projet personnel,Avoir un poste à responsabilités,Recherche / Sciences
06/07/2025 16:15:52,18 ans et plus,Terminale,"Histoire-Géographie, Français, Mathématiques",,Bénévolat / Engagement associatif,En groupe,Un peu,"Oui, beaucoup",Non,Je ne sais pas,Parfois,Moyennement,Parfois,Non,Avancé,Techniques,Non,J’ai quelques idées,Travail manuel,Oui,Moyennement importante,Oui,Je ne sais pas,"Créatif(ve), Organisé(e)",Je reste calme et cherche des solutions,Non,Peu importante,Un peu,Réussir mes examens,Contribuer à la société,Santé / Social
